ENTREVISTA,REGIAO,UF,MUNICIPIO,qtd_geladeira,kwh_geladeira,qtd_chuveiro_eletrico,kwh_chuveiro_eletrico,qtd_ventilador,kwh_ventilador
66032,Centro-Oeste,GO,Anápolis,1.0,45.0,1.0,10.0,1.0,3.8150000000000004
66033,Centro-Oeste,GO,Anápolis,1.0,45.0,2.0,27.5,1.0,0.0
66034,Sudeste,RJ,Niterói,1.0,45.0,1.0,255.75,2.0,49.74900000000002
66035,Sudeste,RJ,Niterói,1.0,45.0,1.0,88.0,1.0,47.376000000000005
66036,Sudeste,RJ,Niterói,1.0,45.0,1.0,42.0,1.0,1.4863333333333335
66037,Sudeste,RJ,Niterói,1.0,45.0,1.0,126.0,3.0,53.298
66038,Sudeste,MG,Belo Horizonte,1.0,45.0,1.0,168.0,0.0,0.0
66039,Sudeste,MG,Belo Horizonte,1.0,45.0,3.0,0.0,2.0,0.6469416666666667
66041,Sudeste,MG,Belo Horizonte,1.0,45.0,1.0,0.0,1.0,1.49695
66042,Sudeste,MG,Belo Horizonte,1.0,45.0,2.0,13.75,2.0,2.4604500000000002
66043,Sudeste,MG,Belo Horizonte,2.0,90.0,2.0,220.0,3.0,6.415500000000001
66044,Sudeste,RJ,Niterói,1.0,45.0,1.0,42.0,3.0,72.0275
66047,Centro-Oeste,GO,Anápolis,1.0,45.0,2.0,55.0,2.0,35.532000000000004
66049,Sudeste,RJ,Niterói,1.0,45.0,1.0,42.0,3.0,85.164
66050,Sudeste,MG,Belo Horizonte,1.0,45.0,2.0,0.0,2.0,13.734000000000004
66051,Sudeste,MG,Belo Horizonte,0.0,0.0,2.0,62.00000000000001,0.0,0.0
66052,Sul,PR,Umuarama,1.0,45.0,1.0,64.0,1.0,2.289
66053,Sul,PR,Umuarama,1.0,45.0,1.0,126.0,2.0,19.740000000000002
66054,Sul,PR,Umuarama,1.0,45.0,2.0,84.0,2.0,11.844000000000001
66055,Sul,PR,Umuarama,1.0,45.0,1.0,128.0,1.0,0.0
66056,Sul,PR,Umuarama,1.0,45.0,1.0,64.0,2.0,25.38
66057,Sul,PR,Umuarama,1.0,45.0,1.0,96.0,1.0,2.9610000000000003
66059,Sul,PR,Umuarama,1.0,45.0,1.0,132.0,2.0,35.25
66060,Sul,PR,Umuarama,1.0,45.0,1.0,64.0,1.0,5.922000000000001
66061,Sul,PR,Umuarama,1.0,45.0,1.0,144.0,3.0,29.61
66064,Sul,PR,Umuarama,1.0,45.0,1.0,96.0,1.0,5.922000000000001
66065,Sudeste,RJ,Niterói,1.0,45.0,1.0,21.0,1.0,47.376000000000005
66066,Centro-Oeste,GO,Anápolis,1.0,45.0,3.0,132.0,1.0,35.532000000000004
66067,Centro-Oeste,GO,Anápolis,1.0,45.0,2.0,27.5,1.0,0.7000000000000001
66068,Sudeste,RJ,Niterói,1.0,45.0,1.0,0.0,1.0,0.47
66069,Sudeste,RJ,Niterói,1.0,45.0,1.0,96.0,1.0,1.4863333333333335
66070,Sudeste,RJ,Niterói,1.0,45.0,1.0,52.5,2.0,13.14
66071,Sudeste,MG,Belo Horizonte,1.0,45.0,1.0,279.0,0.0,0.0
66072,Sudeste,MG,Belo Horizonte,1.0,45.0,1.0,63.0,1.0,13.734000000000004
66073,Sudeste,MG,Belo Horizonte,0.0,0.0,1.0,406.87500000000006,0.0,0.0
66074,Sudeste,RJ,Niterói,1.0,45.0,1.0,127.875,1.0,6.860000000000001
66075,Sudeste,RJ,Niterói,1.0,45.0,1.0,337.5,1.0,9.8
66076,Sudeste,RJ,Niterói,1.0,45.0,1.0,216.0,1.0,0.37241666666666673
66077,Sudeste,MG,Belo Horizonte,1.0,45.0,1.0,0.0,0.0,0.0
66078,Sudeste,MG,Belo Horizonte,1.0,45.0,1.0,0.0,1.0,2.9610000000000003
66079,Sudeste,MG,Belo Horizonte,1.0,45.0,2.0,88.0,0.0,0.0
66080,Sudeste,MG,Belo Horizonte,1.0,45.0,2.0,126.0,2.0,35.532000000000004
66081,Sudeste,MG,Belo Horizonte,1.0,45.0,1.0,66.0,0.0,0.0
66082,Sudeste,MG,Belo Horizonte,1.0,45.0,1.0,0.0,0.0,0.0
66083,Sudeste,MG,Belo Horizonte,1.0,45.0,1.0,0.0,1.0,17.766000000000002
66085,Sudeste,RJ,Niterói,1.0,45.0,1.0,44.0,2.0,19.252333333333336
66086,Sudeste,RJ,Niterói,2.0,90.0,2.0,336.0,2.0,19.6
66087,Sudeste,MG,Belo Horizonte,1.0,45.0,2.0,220.0,1.0,25.38
66088,Sudeste,MG,Belo Horizonte,1.0,45.0,4.0,1364.0,2.0,19.740000000000002
66089,Sudeste,MG,Belo Horizonte,1.0,45.0,1.0,88.0,0.0,0.0
66090,Sudeste,MG,Belo Horizonte,1.0,45.0,1.0,34.375,1.0,17.766000000000002
66091,Sudeste,MG,Belo Horizonte,0.0,0.0,1.0,110.0,0.0,0.0
66092,Sudeste,MG,Belo Horizonte,1.0,45.0,2.0,511.5,0.0,0.0
66093,Sudeste,MG,Belo Horizonte,1.0,45.0,1.0,127.875,1.0,17.766000000000002
66094,Sudeste,MG,Belo Horizonte,1.0,45.0,1.0,0.0,1.0,8.46
66095,Sudeste,MG,Belo Horizonte,1.0,45.0,1.0,88.0,1.0,0.2606916666666667
66096,Sudeste,MG,Belo Horizonte,2.0,90.0,2.0,0.0,0.0,0.0
66097,Sudeste,MG,Belo Horizonte,1.0,45.0,1.0,110.0,1.0,5.922000000000001
66098,Sudeste,MG,Belo Horizonte,1.0,45.0,1.0,66.0,3.0,53.298
66099,Centro-Oeste,GO,Anápolis,0.0,0.0,1.0,5.0,0.0,0.0
66100,Centro-Oeste,GO,Anápolis,1.0,45.0,1.0,13.75,1.0,9.870000000000001
66101,Centro-Oeste,GO,Anápolis,1.0,45.0,1.0,55.0,0.0,0.0
66102,Centro-Oeste,GO,Anápolis,1.0,45.0,1.0,27.5,2.0,71.06400000000001
66103,Centro-Oeste,GO,Anápolis,1.0,45.0,1.0,13.75,1.0,0.10616666666666667
66104,Centro-Oeste,GO,Anápolis,1.0,45.0,1.0,220.0,1.0,35.532000000000004
66105,Centro-Oeste,GO,Anápolis,1.0,45.0,1.0,96.0,0.0,0.0
66106,Centro-Oeste,GO,Anápolis,1.0,45.0,1.0,13.75,0.0,0.0
66107,Sudeste,MG,Belo Horizonte,1.0,45.0,1.0,0.0,1.0,0.0
66108,Sudeste,MG,Belo Horizonte,1.0,45.0,1.0,275.00000000000006,1.0,3.2700000000000005
66109,Sudeste,MG,Belo Horizonte,1.0,45.0,1.0,13.75,1.0,5.922000000000001
66110,Sudeste,RJ,Rio de Janeiro,1.0,45.0,2.0,88.0,2.0,19.6
66111,Sudeste,RJ,Rio de Janeiro,1.0,45.0,2.0,0.0,1.0,14.1
66112,Sudeste,RJ,Rio de Janeiro,1.0,45.0,2.0,255.75,1.0,4.23
66113,Sudeste,RJ,Rio de Janeiro,1.0,45.0,1.0,310.0,1.0,1.49695
66114,Sudeste,RJ,Rio de Janeiro,1.0,45.0,1.0,124.00000000000001,1.0,6.860000000000001
66115,Sudeste,RJ,Rio de Janeiro,1.0,45.0,1.0,104.62500000000001,1.0,17.766000000000002
66116,Sudeste,RJ,Rio de Janeiro,1.0,45.0,1.0,104.62500000000001,1.0,17.766000000000002
66117,Sudeste,RJ,Rio de Janeiro,1.0,45.0,3.0,324.0,2.0,11.844000000000001
66118,Sudeste,RJ,Rio de Janeiro,1.0,45.0,1.0,85.25,2.0,15.722000000000001
66119,Sudeste,RJ,Rio de Janeiro,1.0,45.0,2.0,128.0,1.0,0.329
66120,Sudeste,RJ,Rio de Janeiro,1.0,45.0,2.0,256.0,2.0,16.578000000000003
66121,Sudeste,RJ,Rio de Janeiro,1.0,45.0,1.0,32.0,1.0,0.903
66122,Sudeste,RJ,Rio de Janeiro,1.0,45.0,1.0,66.0,2.0,35.532000000000004
66123,Sudeste,RJ,Rio de Janeiro,1.0,45.0,2.0,255.75,2.0,8.46
66124,Sudeste,RJ,Rio de Janeiro,1.0,45.0,1.0,0.0,1.0,4.1160000000000005
66128,Sudeste,RJ,São João de Meriti,1.0,45.0,1.0,48.0,2.0,19.252333333333336
66129,Sudeste,RJ,São João de Meriti,1.0,45.0,1.0,32.0,1.0,5.922000000000001
66131,Sudeste,RJ,São João de Meriti,2.0,90.0,1.0,64.0,0.0,0.0
66132,Sudeste,RJ,São João de Meriti,1.0,45.0,1.0,55.0,0.0,0.0
66133,Sudeste,RJ,São João de Meriti,1.0,45.0,1.0,176.0,1.0,3.2700000000000005
66134,Sudeste,RJ,São João de Meriti,2.0,90.0,1.0,96.0,2.0,1.737841666666667
