ENTREVISTA,REGIAO,UF,MUNICIPIO,qtd_geladeira,kwh_geladeira,kwh_categoria_refrigeracao
72386,Centro-Oeste,MS,Dourados,2.0,90.0,90.0
72387,Centro-Oeste,MS,Dourados,1.0,45.0,45.0
72388,Centro-Oeste,MS,Dourados,1.0,45.0,45.0
72389,Centro-Oeste,MS,Dourados,1.0,45.0,45.0
72390,Centro-Oeste,MS,Dourados,1.0,45.0,45.0
72391,Centro-Oeste,MS,Dourados,1.0,45.0,45.0
72392,Centro-Oeste,MS,Dourados,1.0,45.0,45.0
72393,Centro-Oeste,MS,Dourados,1.0,45.0,45.0
72394,Centro-Oeste,MS,Dourados,1.0,45.0,45.0
72395,Centro-Oeste,MS,Dourados,1.0,45.0,45.0
72396,Centro-Oeste,MS,Dourados,1.0,45.0,45.0
72397,Centro-Oeste,MS,Dourados,1.0,45.0,45.0
72398,Centro-Oeste,MS,Dourados,1.0,45.0,45.0
72399,Centro-Oeste,MS,Dourados,1.0,45.0,45.0
72400,Centro-Oeste,MS,Dourados,1.0,45.0,45.0
72401,Centro-Oeste,MS,Dourados,1.0,45.0,45.0
72402,Centro-Oeste,MS,Dourados,1.0,45.0,45.0
72403,Centro-Oeste,MS,Dourados,1.0,45.0,45.0
72404,Centro-Oeste,MS,Dourados,1.0,45.0,45.0
72405,Sudeste,SP,Mauá,1.0,45.0,45.0
72406,Sudeste,SP,Mauá,1.0,45.0,45.0
72408,Centro-Oeste,MS,Dourados,1.0,45.0,45.0
72409,Centro-Oeste,MS,Dourados,1.0,45.0,45.0
72410,Centro-Oeste,MS,Dourados,1.0,45.0,45.0
72411,Centro-Oeste,MS,Dourados,1.0,45.0,45.0
72412,Centro-Oeste,MS,Dourados,1.0,45.0,45.0
72413,Centro-Oeste,MS,Dourados,1.0,45.0,45.0
72414,Centro-Oeste,MS,Dourados,1.0,45.0,45.0
72415,Centro-Oeste,MS,Dourados,1.0,45.0,45.0
72416,Centro-Oeste,MS,Dourados,1.0,45.0,45.0
72417,Centro-Oeste,MS,Dourados,1.0,45.0,45.0
72418,Sudeste,SP,Mauá,2.0,90.0,90.0
72419,Sudeste,SP,Mauá,1.0,45.0,45.0
72420,Sudeste,SP,Mauá,1.0,45.0,45.0
72421,Sudeste,MG,Curvelo,1.0,45.0,45.0
72422,Sudeste,SP,Mauá,1.0,45.0,45.0
72423,Sul,SC,Criciúma,1.0,45.0,45.0
72424,Sul,SC,Criciúma,1.0,45.0,45.0
72425,Sul,SC,Criciúma,2.0,90.0,90.0
72426,Sul,SC,Criciúma,1.0,45.0,45.0
72427,Sul,SC,Criciúma,1.0,45.0,45.0
72428,Sul,SC,Criciúma,1.0,45.0,45.0
72429,Sul,SC,Criciúma,1.0,45.0,45.0
72430,Sul,SC,Criciúma,1.0,45.0,45.0
72431,Sul,SC,Criciúma,1.0,45.0,45.0
72432,Sul,SC,Criciúma,1.0,45.0,45.0
72433,Sul,SC,Criciúma,1.0,45.0,45.0
72434,Sul,SC,Criciúma,1.0,45.0,45.0
72435,Sul,SC,Criciúma,1.0,45.0,45.0
72436,Sul,SC,Criciúma,1.0,45.0,45.0
72437,Sul,SC,Criciúma,1.0,45.0,45.0
72438,Centro-Oeste,MS,Campo Grande,1.0,45.0,45.0
72439,Centro-Oeste,MS,Campo Grande,1.0,45.0,45.0
72440,Centro-Oeste,MS,Campo Grande,1.0,45.0,45.0
72441,Centro-Oeste,MS,Campo Grande,1.0,45.0,45.0
72442,Centro-Oeste,MS,Campo Grande,1.0,45.0,45.0
72443,Sul,SC,Criciúma,1.0,45.0,45.0
72444,Centro-Oeste,MS,Campo Grande,1.0,45.0,45.0
72446,Sul,SC,Criciúma,1.0,45.0,45.0
72447,Sul,SC,Criciúma,1.0,45.0,45.0
72448,Sul,SC,Criciúma,1.0,45.0,45.0
72449,Sul,SC,Criciúma,1.0,45.0,45.0
72450,Sul,SC,Criciúma,1.0,45.0,45.0
72451,Sul,SC,Criciúma,1.0,45.0,45.0
72452,Sul,SC,Criciúma,1.0,45.0,45.0
72453,Sul,SC,Criciúma,1.0,45.0,45.0
72454,Sul,SC,Criciúma,1.0,45.0,45.0
72455,Sul,SC,Criciúma,1.0,45.0,45.0
72457,Sul,SC,Criciúma,1.0,45.0,45.0
72458,Sul,SC,Criciúma,1.0,45.0,45.0
